#    L    TT             EE             BB             TE             PP             TP             EP          
   135    0.37323E+04    0.10754E+01    0.78529E-02   -0.41505E+02    0.79987E-07    0.26204E-03   -0.86526E-06
   136    0.37651E+04    0.10767E+01    0.77087E-02   -0.41815E+02    0.79500E-07    0.25945E-03   -0.86915E-06
   137    0.37979E+04    0.10776E+01    0.75649E-02   -0.42107E+02    0.79018E-07    0.25690E-03   -0.87210E-06
   138    0.38306E+04    0.10780E+01    0.74216E-02   -0.42381E+02    0.78540E-07    0.25438E-03   -0.87418E-06
   139    0.38632E+04    0.10779E+01    0.72790E-02   -0.42636E+02    0.78065E-07    0.25191E-03   -0.87545E-06
   140    0.38957E+04    0.10773E+01    0.71371E-02   -0.42871E+02    0.77594E-07    0.24947E-03   -0.87599E-06
   141    0.39281E+04    0.10762E+01    0.69960E-02   -0.43086E+02    0.77128E-07    0.24707E-03   -0.87584E-06
   142    0.39605E+04    0.10747E+01    0.68559E-02   -0.43281E+02    0.76664E-07    0.24470E-03   -0.87508E-06
   143    0.39928E+04    0.10727E+01    0.67169E-02   -0.43455E+02    0.76205E-07    0.24236E-03   -0.87378E-06
   144    0.40249E+04    0.10702E+01    0.65791E-02   -0.43609E+02    0.75750E-07    0.24006E-03   -0.87199E-06
   145    0.40568E+04    0.10673E+01    0.64425E-02   -0.43742E+02    0.75298E-07    0.23778E-03   -0.86980E-06
   146    0.40888E+04    0.10639E+01    0.63074E-02   -0.43853E+02    0.74849E-07    0.23554E-03   -0.86725E-06
   147    0.41204E+04    0.10601E+01    0.61738E-02   -0.43941E+02    0.74405E-07    0.23332E-03   -0.86442E-06
   148    0.41519E+04    0.10557E+01    0.60418E-02   -0.44008E+02    0.73964E-07    0.23113E-03   -0.86136E-06
   149    0.41834E+04    0.10510E+01    0.59116E-02   -0.44052E+02    0.73527E-07    0.22896E-03   -0.85816E-06
   150    0.42145E+04    0.10459E+01    0.57832E-02   -0.44071E+02    0.73093E-07    0.22682E-03   -0.85487E-06
   151    0.42455E+04    0.10404E+01    0.56568E-02   -0.44069E+02    0.72663E-07    0.22470E-03   -0.85154E-06
   152    0.42762E+04    0.10344E+01    0.55324E-02   -0.44043E+02    0.72236E-07    0.22260E-03   -0.84817E-06
   153    0.43068E+04    0.10280E+01    0.54100E-02   -0.43991E+02    0.71813E-07    0.22053E-03   -0.84472E-06
   154    0.43372E+04    0.10212E+01    0.52897E-02   -0.43916E+02    0.71393E-07    0.21848E-03   -0.84119E-06
   155    0.43673E+04    0.10141E+01    0.51714E-02   -0.43817E+02    0.70977E-07    0.21645E-03   -0.83755E-06
   156    0.43971E+04    0.10067E+01    0.50553E-02   -0.43693E+02    0.70564E-07    0.21445E-03   -0.83378E-06
   157    0.44268E+04    0.99892E+00    0.49414E-02   -0.43544E+02    0.70154E-07    0.21246E-03   -0.82985E-06
   158    0.44562E+04    0.99085E+00    0.48297E-02   -0.43370E+02    0.69748E-07    0.21050E-03   -0.82574E-06
   159    0.44853E+04    0.98236E+00    0.47202E-02   -0.43172E+02    0.69346E-07    0.20856E-03   -0.82143E-06
   160    0.45142E+04    0.97360E+00    0.46130E-02   -0.42947E+02    0.68946E-07    0.20665E-03   -0.81691E-06
   161    0.45428E+04    0.96464E+00    0.45081E-02   -0.42697E+02    0.68550E-07    0.20475E-03   -0.81213E-06
   162    0.45712E+04    0.95534E+00    0.44056E-02   -0.42422E+02    0.68157E-07    0.20288E-03   -0.80710E-06
   163    0.45994E+04    0.94576E+00    0.43054E-02   -0.42121E+02    0.67768E-07    0.20103E-03   -0.80177E-06
   164    0.46272E+04    0.93598E+00    0.42076E-02   -0.41795E+02    0.67382E-07    0.19920E-03   -0.79614E-06
   165    0.46548E+04    0.92594E+00    0.41123E-02   -0.41442E+02    0.66998E-07    0.19740E-03   -0.79017E-06
   166    0.46821E+04    0.91577E+00    0.40195E-02   -0.41063E+02    0.66619E-07    0.19561E-03   -0.78385E-06
   167    0.47091E+04    0.90526E+00    0.39292E-02   -0.40659E+02    0.66242E-07    0.19385E-03   -0.77716E-06
   168    0.47357E+04    0.89478E+00    0.38414E-02   -0.40229E+02    0.65868E-07    0.19211E-03   -0.77006E-06
   169    0.47620E+04    0.88403E+00    0.37562E-02   -0.39771E+02    0.65498E-07    0.19039E-03   -0.76255E-06
   170    0.47880E+04    0.87324E+00    0.36736E-02   -0.39288E+02    0.65131E-07    0.18870E-03   -0.75460E-06
   171    0.48136E+04    0.86241E+00    0.35937E-02   -0.38777E+02    0.64766E-07    0.18702E-03   -0.74618E-06
   172    0.48387E+04    0.85146E+00    0.35165E-02   -0.38239E+02    0.64405E-07    0.18537E-03   -0.73728E-06
   173    0.48634E+04    0.84039E+00    0.34420E-02   -0.37675E+02    0.64047E-07    0.18374E-03   -0.72786E-06
   174    0.48878E+04    0.82951E+00    0.33702E-02   -0.37085E+02    0.63692E-07    0.18213E-03   -0.71792E-06
   175    0.49118E+04    0.81851E+00    0.33012E-02   -0.36468E+02    0.63340E-07    0.18055E-03   -0.70743E-06
   176    0.49353E+04    0.80762E+00    0.32351E-02   -0.35824E+02    0.62991E-07    0.17898E-03   -0.69637E-06
   177    0.49584E+04    0.79676E+00    0.31717E-02   -0.35154E+02    0.62644E-07    0.17743E-03   -0.68477E-06
   178    0.49810E+04    0.78617E+00    0.31110E-02   -0.34457E+02    0.62301E-07    0.17591E-03   -0.67264E-06
   179    0.50031E+04    0.77554E+00    0.30530E-02   -0.33733E+02    0.61961E-07    0.17441E-03   -0.66003E-06
   180    0.50250E+04    0.76509E+00    0.29976E-02   -0.32984E+02    0.61623E-07    0.17292E-03   -0.64696E-06
   181    0.50463E+04    0.75483E+00    0.29448E-02   -0.32209E+02    0.61288E-07    0.17146E-03   -0.63346E-06
   182    0.50671E+04    0.74483E+00    0.28945E-02   -0.31407E+02    0.60956E-07    0.17001E-03   -0.61955E-06
   183    0.50874E+04    0.73502E+00    0.28467E-02   -0.30580E+02    0.60627E-07    0.16858E-03   -0.60527E-06
   184    0.51074E+04    0.72547E+00    0.28013E-02   -0.29726E+02    0.60301E-07    0.16717E-03   -0.59064E-06
   185    0.51268E+04    0.71634E+00    0.27582E-02   -0.28849E+02    0.59977E-07    0.16577E-03   -0.57568E-06
   186    0.51455E+04    0.70747E+00    0.27174E-02   -0.27945E+02    0.59656E-07    0.16439E-03   -0.56044E-06
   187    0.51640E+04    0.69902E+00    0.26789E-02   -0.27015E+02    0.59337E-07    0.16303E-03   -0.54494E-06
   188    0.51819E+04    0.69097E+00    0.26426E-02   -0.26062E+02    0.59021E-07    0.16168E-03   -0.52919E-06
   189    0.51993E+04    0.68336E+00    0.26085E-02   -0.25083E+02    0.58708E-07    0.16035E-03   -0.51325E-06
   190    0.52165E+04    0.67623E+00    0.25764E-02   -0.24081E+02    0.58398E-07    0.15903E-03   -0.49712E-06
   191    0.52328E+04    0.66962E+00    0.25464E-02   -0.23054E+02    0.58089E-07    0.15773E-03   -0.48084E-06
   192    0.52488E+04    0.66354E+00    0.25184E-02   -0.22002E+02    0.57784E-07    0.15644E-03   -0.46444E-06
   193    0.52641E+04    0.65804E+00    0.24924E-02   -0.20928E+02    0.57481E-07    0.15516E-03   -0.44795E-06
   194    0.52791E+04    0.65315E+00    0.24682E-02   -0.19830E+02    0.57180E-07    0.15389E-03   -0.43139E-06
   195    0.52934E+04    0.64891E+00    0.24459E-02   -0.18709E+02    0.56882E-07    0.15264E-03   -0.41479E-06
   196    0.53072E+04    0.64536E+00    0.24253E-02   -0.17566E+02    0.56586E-07    0.15140E-03   -0.39819E-06
   197    0.53205E+04    0.64254E+00    0.24065E-02   -0.16401E+02    0.56293E-07    0.15017E-03   -0.38160E-06
   198    0.53333E+04    0.64047E+00    0.23894E-02   -0.15214E+02    0.56001E-07    0.14894E-03   -0.36506E-06
   199    0.53456E+04    0.63920E+00    0.23739E-02   -0.14006E+02    0.55713E-07    0.14773E-03   -0.34859E-06
   200    0.53574E+04    0.63875E+00    0.23600E-02   -0.12777E+02    0.55426E-07    0.14653E-03   -0.33223E-06
   201    0.53686E+04    0.63918E+00    0.23477E-02   -0.11526E+02    0.55142E-07    0.14534E-03   -0.31599E-06
   202    0.53792E+04    0.64049E+00    0.23368E-02   -0.10256E+02    0.54860E-07    0.14415E-03   -0.29988E-06
   203    0.53893E+04    0.64276E+00    0.23273E-02   -0.89654E+01    0.54580E-07    0.14297E-03   -0.28390E-06
   204    0.53987E+04    0.64599E+00    0.23193E-02   -0.76569E+01    0.54302E-07    0.14180E-03   -0.26804E-06
   205    0.54076E+04    0.65024E+00    0.23125E-02   -0.63287E+01    0.54027E-07    0.14065E-03   -0.25231E-06
   206    0.54158E+04    0.65553E+00    0.23071E-02   -0.49818E+01    0.53754E-07    0.13949E-03   -0.23670E-06
   207    0.54235E+04    0.66188E+00    0.23029E-02   -0.36169E+01    0.53483E-07    0.13835E-03   -0.22121E-06
   208    0.54304E+04    0.66936E+00    0.22999E-02   -0.22343E+01    0.53214E-07    0.13722E-03   -0.20584E-06
   209    0.54368E+04    0.67798E+00    0.22980E-02   -0.83461E+00    0.52947E-07    0.13609E-03   -0.19058E-06
   210    0.54426E+04    0.68778E+00    0.22972E-02    0.58145E+00    0.52682E-07    0.13497E-03   -0.17544E-06
   211    0.54478E+04    0.69880E+00    0.22975E-02    0.20137E+01    0.52419E-07    0.13386E-03   -0.16040E-06
   212    0.54522E+04    0.71107E+00    0.22988E-02    0.34613E+01    0.52159E-07    0.13276E-03   -0.14548E-06
   213    0.54562E+04    0.72463E+00    0.23010E-02    0.49243E+01    0.51900E-07    0.13167E-03   -0.13067E-06
   214    0.54594E+04    0.73948E+00    0.23041E-02    0.64014E+01    0.51643E-07    0.13059E-03   -0.11596E-06
   215    0.54621E+04    0.75579E+00    0.23081E-02    0.78918E+01    0.51389E-07    0.12951E-03   -0.10136E-06
   216    0.54641E+04    0.77339E+00    0.23128E-02    0.93962E+01    0.51136E-07    0.12844E-03   -0.86861E-07
   217    0.54656E+04    0.79243E+00    0.23184E-02    0.10912E+02    0.50885E-07    0.12738E-03   -0.72462E-07
   218    0.54665E+04    0.81291E+00    0.23246E-02    0.12441E+02    0.50637E-07    0.12633E-03   -0.58162E-07
   219    0.54667E+04    0.83483E+00    0.23315E-02    0.13982E+02    0.50390E-07    0.12528E-03   -0.43958E-07
   220    0.54664E+04    0.85833E+00    0.23390E-02    0.15532E+02    0.50145E-07    0.12425E-03   -0.29850E-07
   221    0.54655E+04    0.88335E+00    0.23471E-02    0.17093E+02    0.49902E-07    0.12322E-03   -0.15834E-07
   222    0.54639E+04    0.91002E+00    0.23556E-02    0.18663E+02    0.49661E-07    0.12220E-03   -0.19097E-08
   223    0.54617E+04    0.93827E+00    0.23647E-02    0.20243E+02    0.49421E-07    0.12118E-03    0.11925E-07
   224    0.54590E+04    0.96810E+00    0.23741E-02    0.21830E+02    0.49184E-07    0.12018E-03    0.25673E-07
   225    0.54557E+04    0.99966E+00    0.23839E-02    0.23425E+02    0.48948E-07    0.11918E-03    0.39336E-07
   226    0.54517E+04    0.10329E+01    0.23941E-02    0.25027E+02    0.48714E-07    0.11819E-03    0.52914E-07
   227    0.54471E+04    0.10680E+01    0.24045E-02    0.26635E+02    0.48482E-07    0.11721E-03    0.66412E-07
   228    0.54420E+04    0.11047E+01    0.24151E-02    0.28249E+02    0.48252E-07    0.11623E-03    0.79829E-07
   229    0.54363E+04    0.11432E+01    0.24259E-02    0.29867E+02    0.48023E-07    0.11527E-03    0.93169E-07
   230    0.54300E+04    0.11835E+01    0.24368E-02    0.31490E+02    0.47797E-07    0.11431E-03    0.10643E-06
